NAME,TYPE,ITEM,PART_NUMBER,TITLE,MATERIAL
VALVE,ASSEMBLY,?,00001-254878,VALVE ASSEMBLY,?
BODY,ASSEMBLY,A,09200-254878,BODY ASSEMBLY,SA-516-GR.70N
BONNET,ASSEMBLY,A3 ,09262-254878,BONNET ASSEMBLY,SA-516-GR.70N
SEAT,ASSEMBLY,A2 ,09237-254878,SEAT ASSEMBLY,SA-387-GR.11 CL.1 N&T
BON_RET_ASSY,ASSEMBLY,A4 ,04305-254878,BONNET RETAINER ASSEMBLY,SA-240-410S
ORIFICE,ASSEMBLY,B,09501-254878,ORIFICE PLATE ASSEMBLY,SA-387-GR.11 CL.1 N&T
DISC,ASSEMBLY,D,09000-254878,DISC ASSEMBLY,SA-387-GR.11 CL.1 N&T
GUIDE_SET,ASSEMBLY,C,09521-254878,GUIDE SET (LH AND RH),SA-387-GR.11 CL.1 N&T
GUIDE_LH,ASSEMBLY,C1,09508-254878,LH GUIDE,SA-387-GR.11 CL.1 N&T
GUIDE_RH,ASSEMBLY,C2,09509-254878,RH GUIDE,SA-387-GR.11 CL.1 N&T
STEM,ASSEMBLY,E,09713-254878,LOWER STEM W/WALLEX #50,SA-182-F316H
COV_FLG,ASSEMBLY,F,09327-254878,COVER FLANGE/STUFFING BOX ASSY,SA-516-GR.70N
ADAPT_YOKE,ASSEMBLY,G,09801-254878,ADAPTER YOKE ASS'Y F/DOUBLE LEAD SCREW ACTUATOR,SA-36
ACTUATOR,ASSEMBLY,H,08714-254878,ACTUATOR,BLAC INC.
COV_RET_ASSY,ASSEMBLY,F10 ,04305-1767,COVER RETAINER ASSEMBLY,SA-240-410S
BODY_SPOOL,PART,A1 ,09204-254878,BODY SPOOL,SA-516-GR.70N
TOP_CONE,PART,A1a,09209-254878A,TOP CONE,SA-516-GR.70N
TOP_STUB,PART,A1b,09213-254878A,TOP STUB,SA-516-GR.70N
BOT_CONE,PART,A1c,09209-254878B,BOTTOM CONE,SA-516-GR.70N
BOT_STUB,PART,A1d,09213-254878B,BOTTOM STUB,SA-516-GR.70N
BON_FLG,PART,A3c,09201-254878,BONNET FLANGE,SA-516-GR.70N
BON_TOP_PL,PART,A3b,09256-254878B,BONNET TOP PLATE,SA-516-GR.70N
BON_BOT_PL,PART,A3a,09256-254878A,BONNET BOTTOM PLATE,SA-516-GR.70N
LIFT_LUG_BODY,PART,A6 ,04303-0037,"LIFTING LUG, K4.11",SA-516-GR.70N
BON_SIDE_PL,PART,A3d,09256-,BONNET SIDE PLATE,SA-516-GR.70N
SEAT_PL,PART,A2a,09205-254878,SEAT PLATE,SA-387-GR.11 CL.1 N&T
SEAT_STUB,PART,A2c,09213-254878C,SEAT STUB,SA-387-GR.11 CL.1 N&T
SEAT_BOT_CONE,PART,A2b,09233-254878A,SEAT CONE,SA-387-GR.11 CL.1 N&T
SEAT_TOP_CONE,PART,A2h,09233-254878B,UPPER SEAT CONE,SA-516-GR.70N
SEAT_PTAB,PART,A2d,03200-0296,"PUNCHTAB, 1 X 1 X SQ X 3 X 3 K4.0.31",SA-240-410S
SEAT_PTAB_STRIP,PART,A2e,03200-0317,"PUNCHTAB SPACING STRIP, K4.0.62 X 84-3/8 LG",SA-240-410S
SEAT_REFY,PART,A2f,03400-0016,REFRACTORY (19 LB),RESCO AA-22S
LIPSEAL,PART,M2,04312-254878,LIPSEAL,SA-516-GR.70
BODY_REFY,PART,A7 ,03500-0055,INSULATING REFRACTORY (4950 LB),RESCOCAST 110C
BON_RET_TOP,PART,A4a,04305-254878A,"BONNET RETAINER, TOP",SA-240-410S
BON_RET_BOT,PART,A4b,04305-254878B,"BONNET RETAINER, BOTTOM",SA-240-410S
BON_RET_RSIDE,PART,A4c,04305-254878C,"BONNET RETAINER, SIDE",SA-240-410S
BON_RET_LSIDE,PART,A4c,04305-254878C,"BONNET RETAINER, SIDE",SA-240-410S
NAMEPLATE_BRKT,PART,A5 ,04315-0024,"NAMEPLATE BRACKET, K4.12.1",SA-516-GR.70N
BODY_JPAPER,PART,A9 ,03500-3000,"J-PAPER, 1/8 THK (6 SQ.FT)",FIBERFRAX
BODY_REFY_NEEDLES,PART,A8 ,03500-2012,"NEEDLES, .020 DIA X 1 LG MELT EXTRACTED (99 LB)",304SS
CARDBOARD,PART,CB ,03500-0013,"CARDBOARD, 3/16 THK X 24 WD X 36 LG",CARDBOARD
JK_PIPE_OS,PART,A14,20109-0133,"PIPE, 2-SCH.80 X 9-5/8 LG",SA-106-GR.B
JK_PIPE_IS,PART,A15,20109-0108,"PIPE, 2-SCH.80 X 4 LG",SA-312-TP304H
BP_PIPE_OS,PART,A17,20109-0040,"PIPE, 1-SCH.80 X 6-7/8 LG",SA-106-GR.B
BP_PIPE_IS,PART,A18,20109-0059,"PIPE, 1-SCH.80 X 4 LG",SA-312-TP304H
PIPE_BRACE2,PART,A13,04301-254878C,"FLAT BAR, 3/16 X 3/4"" X 4-1/4"" LG""",SA-36
JACKING_FLG,PART,A10,50036-0500,"PLATE, 1/2 THK X 10"" X 10""""",SA-36
JACKING_BRKT,PART,A11,50036-0500,"PLATE, 1/2 X 7-7/16"" X 9""""",SA-36
JACK_VALVE,PART,A16,20103-0260,"GATE VALVE, 2-800# NPT X S.W. FULL PORT, VOGT 143111 OR EQ.",SA-105/13Cr TRIM/HF SEATS
BON_VALVE,PART,A19,20103-0273,"GATE VALVE, 1-800# S.W. X S.W. FULL PORT, VOGT SW13111 OR EQ.",SA-105/13Cr TRIM/HF SEATS
ORIFICE_GASKET,PART,M1,01303-254878,"ORIFICE GASKET, METAL REINFORCED LAMINATE STYLE GHE""""",316SS/GRAFOIL
ORIFICE_PL,PART,B1,09503-254878,ORIFICE PLATE,SA-387-GR.11 CL.1 N&T
OPLT_RETAINER_BOT,PART,B3,04305-0006,"RETAINER, 1/4 X 1 WD X 97-3/4 LG",SA-240-410S
OPLT_REFY,PART,B6,03400-0016,REFRACTORY (39 LB),RESCO AA-22S
ORIFICE_PTAB,PART,B4,03200-0077,"PUNCHTAB, 1 X 1 X 1 R X 3 X 3 K4.0.15",SA-240-410S
OPLT_PTAB_STRIP,PART,B5,03200-0309,"PUNCHTAB SPACING STRIP, K4.0.60 X 84-3/8 LG",SA-240-410S
DISC_PL,PART,D1,09002-254878,DISC PLATE,SA-387-GR.11 CL.1 N&T
DISC_REFY,PART,D7,03400-0016,REFRACTORY (117 LB),RESCO AA-22S
DISC_TOP_PTAB,PART,D2,03200-0077,"PUNCHTAB, 1 X 1 X 1 R X 3 X 3 K4.0.15",SA-240-410S
DISC_BOT_PTAB,PART,D3,03200-0079,"PUNCHTAB, 1 X 1 X 1/4 R X 3 X 3 K4.0.14",SA-240-410S
DISC_HEXMESH,PART,D6,03300-0004,"HEXMESH, 1 LANCE-GRID (7 SQ.FT)",SA-240-410S
DISC_TOP_PTAB_STRIP,PART,D4,03200-0309,"PUNCHTAB SPACING STRIP, K4.0.60 X 26-1/4 LG",SA-240-410S
DISC_BOT_PTAB_STRIP,PART,D5,03200-0317,"PUNCHTAB SPACING STRIP, K4.0.62 X 25-5/8 LG",SA-240-410S
COV_FLG_PL,PART,F1,09302-254878,COVER FLANGE PLATE,SA-516-GR.70N
SBOX_OUTER,PART,F2,09303-254878B,"STUFFING BOX BARREL, OUTER",SA-350-LF2
SBOX_INNER,PART,F3,09303-254878A,"STUFFING BOX BARREL, INNER",SA-182-F11
SBOX_EAR,PART,F6,09304-0032,STUFFING BOX EAR K4.10.2,SA-516-GR.70N
COV_RETAINER,PART,F10,04305-1767,"RETAINER, 1/4 X 5 WD X 130-1/16 LG",SA-240-410S
COV_REFY,PART,F11,03500-0055,INSULATING REFRACTORY (393 LB),RESCOCAST 110C
GP_PIPE_OS,PART,F18,20109-1365,"PIPE, 1-SCH.80 X 7-1/2 LG",SA-106-GR.B
GP_PIPE_IS,PART,F17,20109-0176,"PIPE, 1-SCH.80 X 4 LG",SA-335-P11
GP_VALVE,PART,F23,20103-0273,"GATE VALVE, 1-800# S.W. X S.W. FULL PORT, VOGT SW13111 OR EQ.",SA-105/13Cr TRIM/HF SEATS
LIFT_LUG_COVER,PART,F16,04303-0037,"LIFTING LUG, K4.11.0",SA-516-GR.70N
SBP_CPLG_T,PART,F5,04313-0091,"HALF COUPLING, 1 SW 3000#",SA-105
SBP_CPLG_B,PART,F4,04313-0076,"HALF COUPLING, 1 NPT 3000#",SA-105
SBS_CPLG_T,PART,F5,04313-0079,"HALF COUPLING, 1/2 SW 3000#",SA-105
SBS_CPLG_B,PART,F4,04313-0006,"HALF COUPLING, 1/2 NPT 3000#",SA-105
SBP_PIPE_T,PART,F7,20109-1365,"PIPE, 1-SCH.80 X 7-7/8 LG",SA-106-GR.B
SBP_VALVE,PART,F9,20103-0272,"GATE VALVE, 1 -800# S.W. X S.W.",SA-105/13Cr TRIM/HF SEATS
SBS_PIPE_T,PART,F8,20109-1499,"PIPE, 1/2-SCH.80 X 14-1/4 LG",SA-106-GR.B
SBS_VALVE,PART,F9,20103-0313,"GATE VALVE, 1/2 -800# S.W. X S.W.",SA-105/13Cr TRIM/HF SEATS
COV_JPAPER,PART,F15,03500-3000,"J-PAPER, 1/8 THK (5 SQ.FT)",FIBERFRAX
COV_REFY_NEEDLES,PART,F12,03500-2012,"NEEDLES, .020 DIA X 1 LG MELT EXTRACTED (8 LB)",304SS
ADAPT_FLNG_ACTSIDE,PART,G1,09802-254878,"YOKE ADAPTER FLANGE, 1-1/4 X 18 X 21-1/2",SA-36
YOKE_SIDEPLATE_C,PART,G2,09807-0621,"SIDE CHANNELS, MC13 X 50# X 22 LG""",SA-36
PIPE_BRACE1,PART,F19,04301-254878C,"FLAT BAR, 3/16 X 3/4"" X 6-3/8"" LG""",SA-36
PIPE_BRACE4,PART,F21,04301-254878C,"FLAT BAR, 3/16 X 3/4"" X 9-13/16"" LG""",SA-36
PIPE_BRACE3,PART,F20,04301-254878C,"FLAT BAR, 3/16 X 3/4"" X 7-7/16"" LG""",SA-36
FOLLOW_FLG,PART,U,09311-0201,FOLLOWING FLANGE,SA-240-304/304H
SBP_PIPEPLUG,PART,X6,10002-0028,"PIPE PLUG, 1 NPT",SA-105
SBS_PIPEPLUG,PART,X7,10002-0008,"PIPE PLUG, 1/2 NPT",SA-105
NAMEPLATE,PART,NP,04314-254878,NAMEPLATE,SS
DRIVESCREW,PART,NPS,10012-0034,"METALLIC DRIVE SCREW, #8 U x 3/8 LG",SS
NULL_LIPSEAL,PART,M2,04312-254878,LIPSEAL,SA-516-GR.70
PACKING_F4,PART,F4,09312-0339,PACKING RING 1/2 SQ X 9-7/16 LG,CHESTERTON #1601
PACKING_F3,PART,F3,09312-0399,PACKING RING 1/2 SQ X 2 ID X 3 OD,CHESTERTON #5300
SLEEVE,PART,R,09307-0561,SLEEVE,ANNEALED NITRONIC #60
PACKING_F2,PART,F2,09312-0156,PACKING RING 1/2 SQ X 9-7/16 LG,CHESTERTON STYLE 1
LANT_RING,PART,T,09308-0191,LANTERN RING,SA-479-304H
SEP_RING,PART,S,09309-0154,SEPARATION BAFFLE RING,SA-479-304H
PKG_GLAND,PART,W,09310-0166,PACKING GLAND,SA-479-304H
BOLT_GASKET,PART,X4,04301-4514,"GASKET F/ 1/2 CAPSCREW""",304SS/GRAFOIL
BOLT_X5,PART,X5,10026-0132,H.H.BOLT 1/2-13UNC-2A X 1-1/8 LG,SA-193-B8
BOLT_N13,PART,N13,10026-0225,H.H.BOLT 3/4-10UNC-2A X 7 LG  (ALL THREAD),SA-193-B8
NUT_N14,PART,N14,10005-0031,HEX NUT 3/4-10UNC-2B,SA-194-GR.8
SPRING_WASH,PART,X1,04301-1869,SPRING WASHERS,SPRING STEEL
STUD_N1,PART,N1,10004-2880,STUD 1-8UNC-2A X 3-1/2 LG,SA-453-GR.660C
NUT_N2,PART,N2,10005-0043,HEX NUT 1-8UNC-2B,SA-453-GR.660C
BOLT_N4,PART,N4,10008-2381,H.H.C.S. 1-8UNC-2A X 6-3/4 LG,SA-453-GR.660C
BOLT_N3,PART,N3,10008-2363,H.H.C.S. 1-8UNC-2A X 2-1/4 LG,SA-453-GR.660C
BOLT_N5,PART,N5,10008-2373,H.H.C.S. 1-8UNC-2A X 4-3/4 LG,SA-453-GR.660C
STUD_N6,PART,N6,10004-0765,STUD 3/4-10UNC-2A X 7 LG,SA-A93-B7
STUD_N8,PART,N6,10004-0765,STUD 3/4-10UNC-2A X 7 LG,SA-A93-B7
NUT_N7,PART,N7,10005-0030,HEX NUT 3/4-10UNC-2B,SA-A194-GR.2H
WARN_TAG_PURGE,PART,X11,04314-0003,WARNING TAG FOR PURGE CONNECTION,SS
WARN_TAG_SEAL,PART,X12,04314-0004,WARNING TAG FOR SEALANT CONNECTION,SS
DOWEL_COVFLG,PART,N10,04334-0037,"DOWEL PIN, 1/2 DIA X 1 3/4 LG (BODY/COVER FLG)",AISI 4140
V_ANC_BOD_V1,PART,V1,02101-1294,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V2,PART,V2,02101-1295,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V3,PART,V3,02101-1296,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V4,PART,V4,02101-1297,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V5,PART,V5,02101-1298,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V6,PART,V6,02101-1299,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_V7,PART,V7,02101-1300,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_BOD_CAP,PART,V8 ,04301-3921,"PLASTIC END CAP F/ V-ANCHOR, 1/4 DIA",PLASTIC
V_ANC_COV_V1,PART,V1,02101-1294,V-ANCHORS (SEE A-SIZE DWG 02101-254878),C.S.(30%C MAX)
V_ANC_COV_CAP,PART,V2,04301-3921,"PLASTIC END CAP F/ V-ANCHOR, 1/4 DIA",PLASTIC
PIPEPLUG200,PART,X8,10002-0048,PIPE PLUG 2 NPT,SA-105
BOLT_ACT,PART,N8,10008-2278,H.H.C.S. 1-1/8-8UN-2A X 4-1/2 LG,SA-193-B7
NUT_ACT,PART,N9,10005-0051,HEX NUT 1-1/8-8UN-2B,SA-194-GR.2H
TOP_FLG,PART,A1b,20107-,TOP FLANGE,SA-105
BOT_FLG,PART,A1d,20107-,BOTTOM FLANGE,SA-105
KNUCKLE_PL,PART,D8,09003-,DISC KNUCKLE PLATE,SA-387-GR.11 CL.1 N&T
OPLT_RETAINER_TOP,PART,B2,04305-0006,"RETAINER, 1/4 X 1 WD X 84-3/8 LG",SA-240-410S
SEAT_RETAINER,PART,A2g,04305-0006,"RETAINER, 1/4 X 1 WD X 84-3/8 LG",SA-240-410S
COV_RET_CORNER,PART,F10e,04305-,COVER RETAINER CORNER PIECE,SA-240-410S
GP_ELBOW,PART,F21,20101-,ELBOW 45 DEG. 1 -3000# S.W.,SA-105
SBP_WN_FLG,PART,F20,20107-,"FLANGE, 1-300# RFWN, SCH.80 BORE",SA-105
SBP_ELBOW,PART,F22,20101-,ELBOW 90 DEG. 3/4 -3000# S.W.,SA-105
SBP_PIPE_2,PART,F14,20109-1365,"PIPE, 3/4-SCH.80 X 6 LG",SA-106-GR.B
SBS_WN_FLG,PART,F20,20107-,"FLANGE, 1/2-300# RFWN, SCH.80 BORE",SA-105
SBS_ELBOW,PART,F22,20101-,ELBOW 90 DEG. 1 -3000# S.W.,SA-105
SBS_PIPE_2,PART,F15,20109-1499,"PIPE, 1-SCH.80 X 6 LG",SA-106-GR.B
SBP_PIPE_B,PART,F7,20109-1365,"PIPE, 1-SCH.80 X 9 LG",SA-106-GR.B
SBS_PIPE_B,PART,F8,20109-1499,"PIPE, 1-SCH.80 X 13-13/16 LG",SA-106-GR.B
COV_HEXMESH,PART,F12,03300-,"HEXMESH, 1 LANCE-GRID (8 SQ.FT)",SA-240-410S
BON_RETAINER,PART,A4 ,04305-254878,BONNET RETAINER,SA-240-410S
BONNET_GASKET,PART,M2,04312-254878,BONNET GASKET,304SS/GRAFOIL
BLIND_FLG_X9,PART,X9,20107-,"BLIND FLANGE, 1-300# RF",SA-105
GP_WN_FLG,PART,F23,20107-,"FLANGE, 1-300# RFWN SCH.80 BORE",SA-105
BODY_HEXMESH,PART,A8 ,03300-,"HEXMESH, 1 LANCE-GRID (90 SQ.FT)",SA-240-410S
OPLT_STUB_RET,PART,X17,04305-0006,"RETAINER, 1/4 X 3/4 WD X 116-9/16 LG",SA-240-410S
SEAT_STUB_PL,PART,A2d,04301-,SEAT STUB PLATE,SA-387-GR.11 CL.1 N&T
ORIFICE_PTAB2,PART,B4,03200-0309,"PUNCHTAB, 3/4 X 3/4 X 1 R X 2-3/4 X 2-3/4 K4.0.11",SA-240-410S
OPLT_PTAB_STRIP2,PART,B9,03200-,"PUNCHTAB SPACING STRIP, K4.0.61 X 109-7/16 LG",SA-240-410S
SEAT_CONE_RETAINER,PART,A2e,04305-,"SEAT RETAINER, 1/4 THK CONE",SA-240-410S
ORIFICE_PTAB3,PART,X16,03200-,"PUNCHTAB, 3/4 X 3/4 X 1 R X 2-3/4 X 2-3/4 K4.0.11",SA-240-410S
TOP_RETAINER,PART,A11,04305-,"TOP RETAINER, 1/4 THK X 44 OD X 34 ID",SA-240-410S
BOT_RETAINER,PART,A12,04305-,"BOTTOM RETAINER, 1/4 THK X 44-1/16 OD X 34 ID",SA-240-410S
OPLT_HEXMESH,PART,B8,03300-0004,"HEXMESH, 3/4 NO-LANCE (6 SQ.FT)",SA-240-410S
HINGED_PUNCHTAB,PART,A9 ,03200-,"HINGED CORNER PUNCHTAB, 3/4 X 3/4",SA-240-410S
V-ANC_K407_BODY,PART,A10,02101-,"V-ANCHOR, K4.0.7, K4.4.1",C.S.(30%C MAX)
V-ANC_K407_OPLT,PART,B9,02101-,"V-ANCHOR, K4.0.7, K4.4.1",C.S.(30%C MAX)
COV_RET_TOP,PART,F10a,04305-,COVER RETAINER TOP,SA-240-410S
COV_RET_BOT,PART,F10b,04305-,COVER RETAINER BOTTOM,SA-240-410S
COV_RET_LSIDE,PART,F10d,04305-,"COVER RETAINER, LEFT SIDE",SA-240-410S
COV_RET_RSIDE,PART,F10c,04305-,"COVER RETAINER, RIGHT SIDE",SA-240-410S
GP_PIPE_OS2,PART,F19,20109-1365,"PIPE, 1-SCH.80 X 3 LG",SA-106-GR.B
OPLT_STUB_RET2,PART,B7,04305-0006,"RETAINER, 1/4 X 3/4 WD X 109-7/16 LG",SA-240-410S
OPLT_STUB_PTAB_STRIP,PART,X15,03200-,"PUNCHTAB SPACING STRIP, K4.0.61 X 109-7/16 LG",SA-240-410S
OPLT_REFY2,PART,X13,03400-0016,REFRACTORY (420 LB),RESCO AA-22S
OPLT_STUB_ARC,PART,B2a,09213-,ORIFICE STUB END,SA-387-GR.11 CL.1 N&T
OPLT_STUB_SIDE,PART,B2a,09213-,ORIFICE STUB SIDE,SA-387-GR.11 CL.1 N&T
SEAT_HOTSTUB_ARC,PART,A2c1,09213-254878C,SEAT STUB END,SA-387-GR.11 CL.1 N&T
SEAT_HOTSTUB_SIDE,PART,A2c2,04301-,SEAT STUB SIDE,SA-387-GR.11 CL.1 N&T
JK_WN_FLG,PART,A13,20107-,"FLANGE, 2-300# RFWN, SCH.80 BORE",SA-105
ASSY_HEXMESH,PART,X14,03300-0004,"HEXMESH, 3/4 NO-LANCE (3 SQ.FT)",SA-240-410S
GASKET_JACK,PART,X7,01302-,"GASKET, SPIRAL WOUND F/ 2-300# RF",304SS/GRAFOIL
BLIND_FLG_JACK,PART,X8,20107-,"BLIND FLANGE, 2-300# RF",SA-105
STUD_N17,PART,N17,10004-,STUD 5/8-11UNC-2A X 3-1/2 LG,SA-A93-B7
NUT_N18,PART,N18,10005-,HEX NUT 5/8-11UNC-2B,SA-A194-GR.2H
GASKET_X10,PART,X10,01302-,"GASKET, SPIRAL WOUND F/ 1-300# RF",304SS/GRAFOIL
STUD_N15,PART,N15,10004-,STUD 5/8-11UNC-2A X 3-1/4 LG,SA-A93-B7
NUT_N16,PART,N16,10005-,HEX NUT 5/8-11UNC-2B,SA-A194-GR.2H
BP_WN_FLG,PART,A16,20107-,"FLANGE, 1-300# RFWN, SCH.80 BORE",SA-105
